clae6,letra,clae6_desc,clae2_desc,letra_desc
021020,A,Repoblación y conservación de bosques nativos y zonas forestadas,Silvicultura y explotación forestal,"AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
022020,A,"Extracción de productos forestales de bosques nativos (Incluye tala de árboles, desbaste de troncos y producción de madera en bruto, leña, postes, la extracción de rodrigones, varas, varillas y la recolección de  gomas naturales, líquenes, musgos, resinas y de rosa mosqueta,etc)",Silvicultura y explotación forestal,"AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
022010,A,"Extracción de productos forestales de bosques cultivados (Incluye tala de árboles, desbaste de troncos y producción de madera en bruto, leña, postes)",Silvicultura y explotación forestal,"AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
024010,A,"Servicios forestales para la extracción de madera (Incluye tala de árboles, acarreo y transporte en el interior del bosque, servicios realizados por terceros, etc.)",Silvicultura y explotación forestal,"AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
021030,A,Explotación de viveros forestales (Incluye propagación de especies forestales),Silvicultura y explotación forestal,"AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
021010,A,Plantación de bosques,Silvicultura y explotación forestal,"AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
031130,A,"Recolección de organismos marinos excepto peces, crustáceos y moluscos (Incluye la recolección de algas marinas)",Pesca y acuicultura,"AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
031110,A,"Pesca de organismos marinos, excepto cuando es realizada en buques procesadores",Pesca y acuicultura,"AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
031200,A,Pesca continental: fluvial y lacustre,Pesca y acuicultura,"AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
032000,A,"Explotación de criaderos de peces, granjas piscícolas y otros frutos acuáticos  (acuicultura)",Pesca y acuicultura,"AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
031300,A,Servicios de apoyo para la pesca,Pesca y acuicultura,"AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
031120,A,Pesca y elaboración de productos marinos realizada a bordo de buques procesadores,Pesca y acuicultura,"AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
052000,B,Extracción y aglomeración de lignito,Extracción de carbón y lignito,EXPLOTACION DE MINAS Y CANTERAS
051000,B,"Extracción y aglomeración de carbón (Incluye la producción de hulla no aglomerada, antracita, carbón bituminoso no aglomerado, ovoides y combustibles sólidos análogos a base de hulla, etc.)",Extracción de carbón y lignito,EXPLOTACION DE MINAS Y CANTERAS
062000,B,Extracción de gas natural (Incluye gas natural licuado y gaseoso),Extracción de petróleo crudo y gas natural,EXPLOTACION DE MINAS Y CANTERAS
061000,B,"Extracción de petróleo crudo (Incluye arenas alquitraníferas, esquistos bituminosos o lutitas, aceites de petróleo y de minerales bituminosos, petróleo, etc.)",Extracción de petróleo crudo y gas natural,EXPLOTACION DE MINAS Y CANTERAS
072100,B,Extracción de minerales y concentrados de uranio y torio,Extracción de minerales metálicos,EXPLOTACION DE MINAS Y CANTERAS
071000,B,"Extracción de minerales de hierro (Incluye hematitas, limonitas, magnetitas, siderita, etc.)",Extracción de minerales metálicos,EXPLOTACION DE MINAS Y CANTERAS
072910,B,Extracción de metales preciosos,Extracción de minerales metálicos,EXPLOTACION DE MINAS Y CANTERAS
072990,B,"Extracción de minerales metalíferos no ferrosos n.c.p., excepto minerales de uranio y torio (Incluye aluminio, cobre, estaño, manganeso, níquel, plomo, volframio, antimonio, bismuto, cinc, molibdeno, titanio, circonio, niobio, tántalo, vanadio, cromo, cobalto)",Extracción de minerales metálicos,EXPLOTACION DE MINAS Y CANTERAS
081100,B,"Extracción de rocas ornamentales (Incluye areniscas, cuarcita, dolomita, granito, mármol, piedra laja, pizarra, serpentina, etc.)",Extracción de otros minerales,EXPLOTACION DE MINAS Y CANTERAS
089200,B,Extracción y aglomeración de turba (Incluye la producción de turba utilizada como corrector de suelos),Extracción de otros minerales,EXPLOTACION DE MINAS Y CANTERAS
089300,B,Extracción de sal,Extracción de otros minerales,EXPLOTACION DE MINAS Y CANTERAS
